	ArtistID	Artist	Similar_artists	Weight	Artist_id
0	1	MALICE MIZER	Moi dix Mois	1.0	4
1	2093	Versailles	Moi dix Mois	0.629343	4
2	2110	Kaya	Moi dix Mois	0.549826	4
3	12702	LAREINE	Moi dix Mois	0.7084699999999999	4
4	12801	Megaromania	Moi dix Mois	0.647368	4
5	12804	Phantasmagoria	Moi dix Mois	0.632889	4
6	1	MALICE MIZER	LAREINE	0.807094	12702
7	4	Moi dix Mois	LAREINE	0.709325	12702
8	2093	Versailles	LAREINE	0.795558	12702
9	2110	Kaya	LAREINE	0.597774	12702
10	12797	摩天楼オペラ	LAREINE	0.587014	12702
11	12804	Phantasmagoria	LAREINE	0.638273	12702
12	1	MALICE MIZER	Kaya	0.585429	2110
13	4	Moi dix Mois	Kaya	0.564628	2110
14	2087	Aural Vampire	Kaya	0.753775	2110
15	2093	Versailles	Kaya	0.511367	2110
16	12702	LAREINE	Kaya	0.6131260000000001	2110
17	1	MALICE MIZER	Versailles	0.566179	2093
18	4	Moi dix Mois	Versailles	0.628637	2093
19	2096	exist†trace	Versailles	0.812639	2093
20	2110	Kaya	Versailles	0.497403	2093
21	2623	Nightmare	Versailles	0.6527930000000001	2093
22	4321	Galneryus	Versailles	0.810262	2093
23	5076	X JAPAN	Versailles	0.447568	2093
24	12702	LAREINE	Versailles	0.793708	2093
25	12797	摩天楼オペラ	Versailles	1.0	2093
26	12801	Megaromania	Versailles	0.756811	2093
27	12804	Phantasmagoria	Versailles	0.5061640000000001	2093
28	1	MALICE MIZER	GACKT	0.47691400000000006	390
29	397	雅-MIYAVI-	GACKT	0.80273	390
30	406	HYDE	GACKT	0.536666	390
31	1865	abingdon boys school	GACKT	0.48822	390
32	1932	Acid Black Cherry	GACKT	0.331227	390
33	5086	YOSHIKI	GACKT	0.27203299999999997	390
34	2	Diary of Dreams	Diorama	1.0	3191
35	1069	The Frozen Autumn	Diorama	0.568476	3191
36	1086	Static Movement	Diorama	0.168874	3191
37	3192	Solar Fake	Diorama	0.71655	3191
38	4312	Frozen Plasma	Diorama	0.795166	3191
39	4872	Deine Lakaien	Diorama	0.578543	3191
40	4876	In Strict Confidence	Diorama	0.8921120000000001	3191
41	5708	Stillife	Diorama	0.598115	3191
42	5709	Kirlian Camera	Diorama	0.5519149999999999	3191
43	7454	Snakeskin	Diorama	0.45892	3191
44	9637	Zeraphine	Diorama	0.390343	3191
45	9868	Peter Heppner	Diorama	0.366496	3191
46	13277	Dreadful Shadows	Diorama	0.303207	3191
47	15534	Cold in May	Diorama	0.9928520000000001	3191
48	2	Diary of Dreams	Deine Lakaien	0.5579770000000001	4872
49	18	The Crüxshadows	Deine Lakaien	0.50241	4872
50	44	Das Ich	Deine Lakaien	0.9219940000000001	4872
